"","vacc_care_2","vacc_timing_2","circle_vaccinated_2","personal_health_satisfaction_2","flu_disturbance_2","own_flu_symptoms_2","own_recent_flu_symptoms_2","circle_flu_symptoms_2","flu_gravity_2","flu_fatality_guess_2","flu_pandemic_influence_2","flu_hospitalized_2","vacc_efficacy_2","chinese_medicine_2","exercise_regularly_2","weekly_exercise_2","gender_2","average_monthly_income_2","season_2","vacc_sides_worry_2"
"59",0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"62",0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"63",0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"64",1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0
"65",0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
"66",0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"67",0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"68",1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"69",0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0
"71",0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
"72",1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"73",0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"74",1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0
"75",0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
"76",0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
"77",0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
"78",0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"79",0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
"80",0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"81",0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0
"82",0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0
"83",0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
"84",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"85",0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0
"86",0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
"88",0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0
"89",0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"90",0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0
"91",1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
"93",0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
"94",0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
"96",0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"97",0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"99",0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"101",1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0
"102",0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0
"103",0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
"104",0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0
"105",0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"106",0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"107",0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0
"108",0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0
"109",1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"110",0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0
"111",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"112",0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"113",0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1
"114",0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"115",0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
"116",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"117",0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
"119",0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"120",0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
"123",0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0
"124",0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"125",0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
"126",0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"127",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0
"128",1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1
"129",1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0
"130",1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0
"131",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0
"132",0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0
"133",0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
"134",1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0
"135",1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0
"136",0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0
"137",1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"138",0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0
"139",1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
"140",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"141",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"142",0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"143",1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0
"145",1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0
"146",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"147",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
"148",0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0
"149",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
"150",0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0
"151",0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
"152",0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0
"153",1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
"154",1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0
"155",0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0
"156",0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0
"157",1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0
"158",0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0
"159",1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0
"161",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"162",0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
"164",0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
"165",0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"166",0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0
"167",0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1
"168",1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0
"169",0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0
"170",0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0
"171",0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
"172",0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0
"173",0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1
"175",0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
"176",0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
"177",0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
"179",0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
"180",0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
"182",1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0
"183",0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
"184",0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0
"185",0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0
"186",0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0
"187",0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"188",0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"189",0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
"190",1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
"191",0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0
"192",1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1
"193",1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
"194",1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
"195",0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0
"196",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"197",1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
"200",1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0
"201",0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
"202",0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"203",0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1
"204",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"205",0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1
"206",1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
"207",0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0
"208",0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
"210",0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0
"212",0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"214",0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0
"216",0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
"217",0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0
"218",0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0
"219",1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
"220",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"221",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
"222",0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1
"223",0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0
"224",1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1
"225",0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
"226",0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
"227",1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
"229",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
"230",0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
"231",0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"232",1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
"233",0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1
"234",1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
"235",0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1
"236",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
"237",0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"238",1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
"239",1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
"241",0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0
"242",0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0
"243",1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0
"244",0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"245",1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0
"246",0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"247",0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
"248",1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"249",0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0
"250",1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1
"251",1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1
"252",0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
"253",1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1
"254",1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1
"255",0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
"256",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"257",0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
"258",0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
"259",0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
"260",0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0
"261",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"262",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
"263",1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0
